surface,chambres,age,prix
203,1,0,176653
102,2,4,98239
213,5,2,206637
148,1,0,131167
95,2,16,93131
46,5,6,72865
206,5,13,194705
154,5,8,152853
80,4,10,90276
79,2,30,73957
66,1,12,61992
131,3,19,123266
51,4,17,63722
136,1,17,118101
200,5,28,186562
187,2,22,160569
51,2,24,52970
60,2,27,57727
137,3,14,132607
133,2,11,123010
93,3,22,95399
205,1,19,175501
83,5,23,93505
81,4,12,90411
203,5,7,197908
123,1,7,108562
120,4,8,121142
94,5,28,104681
120,2,20,111089
141,4,4,140769
75,2,23,74698
177,3,23,161488
149,5,12,150565
96,2,16,93042
63,1,27,55198
79,2,25,78274
148,5,2,152952
137,5,14,141734
104,5,27,107194
214,1,21,181298
108,3,3,109904
151,2,14,133626
107,5,24,111863
169,1,27,144222
116,5,19,120729
79,3,24,79323
178,5,29,165704
193,3,15,172059
68,3,28,70519
101,1,7,95347
60,1,23,57081
57,5,24,71430
72,4,30,80103
82,3,16,87769
148,2,29,131117
216,2,22,185753
142,3,14,135639
155,1,7,135740
56,3,0,71619
181,2,18,158204
41,1,22,43369
55,2,2,60657
124,1,16,108349
111,4,6,118417
73,5,18,88872
102,4,25,104434
88,1,3,86898
150,3,13,141467
159,1,21,138253
205,1,1,178998
126,1,7,112269
88,5,14,99348
148,2,8,136789
103,1,14,94708
65,1,20,62428
43,1,29,39636
82,4,15,92043
94,4,28,94280
82,4,0,95798
107,4,9,113365
